date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2022-08-28,Final,XD,ZHENG .. / HUANG .. (1) Rank 2 Elo 2466 (+15),21-13 / 21-16,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2282 (-15),41,https://badmintonranks.com/tournament?id=10803,1,ZHENG Si Wei / HUANG Dong Ping (1),2,2466,Yuta WATANABE / Arisa IGAKI (3),3.0,2282
2022-08-28,Final,WS,Akane YAMAGUCHI (1) Rank 1 Elo 2445 (+38),21-12 / 10-21 / 21-14,CHEN Yu Fei (4) Rank 4 Elo 2562 (-37),68,https://badmintonranks.com/tournament?id=10803,1,Akane YAMAGUCHI (1),1,2445,CHEN Yu Fei (4),4.0,2562
2022-08-28,Final,MS,Viktor AXELSEN (1) Rank 1 Elo 2683 (+8),21-5 / 21-16,Kunlavut VITIDSARN (16) Rank 17 Elo 2350 (-7),50,https://badmintonranks.com/tournament?id=10803,1,Viktor AXELSEN (1),1,2683,Kunlavut VITIDSARN (16),17.0,2350
2022-08-28,Final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2314 (+17),22-20 / 21-14,KIM So Y.. / KONG H.. (4) Rank 4 Elo 2162 (-17),62,https://badmintonranks.com/tournament?id=10803,1,CHEN Qi Ming / JIA Yi Fan (1),1,2314,KIM So Yeong / KONG Hee Yong (4),4.0,2162
2022-08-28,Final,MD,Aaron CH.. / SOH Wo.. (6) Rank 6 Elo 2193 (+24),21-19 / 21-14,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2131 (-24),40,https://badmintonranks.com/tournament?id=10803,1,Aaron CHIA / SOH Wooi Yik (6),6,2193,Hendra SETIAWAN / Mohammad AHSAN (3),3.0,2131
2022-08-27,Semi final,WS,Akane YAMAGUCHI (1) Rank 1 Elo 2414 (+31),21-19 / 21-12,AN Se Young (3) Rank 3 Elo 2449 (-31),43,https://badmintonranks.com/tournament?id=10803,1,Akane YAMAGUCHI (1),1,2414,AN Se Young (3),3.0,2449
2022-08-27,Semi final,XD,ZHENG .. / HUANG .. (1) Rank 2 Elo 2452 (+14),21-16 / 12-21 / 21-10,WANG Yi.. / HUANG .. (4) Rank 4 Elo 2260 (-14),59,https://badmintonranks.com/tournament?id=10803,1,ZHENG Si Wei / HUANG Dong Ping (1),2,2452,WANG Yi Lyu / HUANG Dong Ping (4),4.0,2260
2022-08-27,Semi final,WS,CHEN Yu Fei (4) Rank 4 Elo 2534 (+28),15-21 / 21-14 / 21-18,TAI Tzu Ying (2) Rank 2 Elo 2538 (-29),71,https://badmintonranks.com/tournament?id=10803,1,CHEN Yu Fei (4),4,2534,TAI Tzu Ying (2),2.0,2538
2022-08-27,Semi final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2268 (+14),21-8 / 21-6,Mark LA.. / Isabel LO.. (9) Rank 12 Elo 2063 (-13),28,https://badmintonranks.com/tournament?id=10803,1,Yuta WATANABE / Arisa IGAKI (3),3,2268,Mark LAMSFUSS / Isabel LOHAU (9),12.0,2063
2022-08-27,Semi final,MS,Viktor AXELSEN (1) Rank 1 Elo 2678 (+5),21-15 / 21-17,CHOU Tien Chen (4) Rank 4 Elo 2300 (-6),52,https://badmintonranks.com/tournament?id=10803,1,Viktor AXELSEN (1),1,2678,CHOU Tien Chen (4),4.0,2300
2022-08-27,Semi final,MS,Kunlavut VITIDSARN (16) Rank 17 Elo 2330 (+20),22-20 / 21-6,ZHAO Jun Peng Rank 23 Elo 2232 (-20),43,https://badmintonranks.com/tournament?id=10803,1,Kunlavut VITIDSARN (16),17,2330,ZHAO Jun Peng,23.0,2232
2022-08-27,Semi final,WD,KIM So Y.. / KONG H.. (4) Rank 4 Elo 2146 (+16),21-16 / 19-21 / 25-23,Puttita S.. / Sapsiree .. (14) Rank 20 Elo 1985 (-17),92,https://badmintonranks.com/tournament?id=10803,1,KIM So Yeong / KONG Hee Yong (4),4,2146,Puttita SUPAJIRAKUL / Sapsiree TAERATTANACHAI (14),20.0,1985
2022-08-27,Semi final,MD,Aaron CH.. / SOH Wo.. (6) Rank 6 Elo 2167 (+26),20-22 / 21-18 / 21-16,Satwiksai.. / Chirag S.. (7) Rank 7 Elo 2145 (-27),77,https://badmintonranks.com/tournament?id=10803,1,Aaron CHIA / SOH Wooi Yik (6),6,2167,Satwiksairaj RANKIREDDY / Chirag SHETTY (7),7.0,2145
2022-08-27,Semi final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2297 (+17),21-13 / 21-14,Mayu MA.. / Wakana .. (6) Rank 6 Elo 2156 (-18),52,https://badmintonranks.com/tournament?id=10803,1,CHEN Qi Ming / JIA Yi Fan (1),1,2297,Mayu MATSUMOTO / Wakana NAGAHARA (6),6.0,2156
2022-08-27,Semi final,MD,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2091 (+40),23-21 / 12-21 / 21-16,Fajar ALF.. / Muhamm.. (5) Rank 5 Elo 2239 (-40),52,https://badmintonranks.com/tournament?id=10803,1,Hendra SETIAWAN / Mohammad AHSAN (3),3,2091,Fajar ALFIAN / Muhammad Shohibul FIKRI (5),5.0,2239
2022-08-26,Quarter final,XD,WANG Yi.. / HUANG .. (4) Rank 4 Elo 2244 (+16),21-16 / 21-15,SEO Seu.. / CHAE Yu.. (5) Rank 6 Elo 2093 (-17),39,https://badmintonranks.com/tournament?id=10803,1,WANG Yi Lyu / HUANG Dong Ping (4),4,2244,SEO Seung Jae / CHAE Yu Jung (5),6.0,2093
2022-08-26,Quarter final,WS,Akane YAMAGUCHI (1) Rank 1 Elo 2388 (+26),21-17 / 21-17,Carolina MARIN (5) Rank 5 Elo 2377 (-26),54,https://badmintonranks.com/tournament?id=10803,1,Akane YAMAGUCHI (1),1,2388,Carolina MARIN (5),5.0,2377
2022-08-26,Quarter final,WS,AN Se Young (3) Rank 3 Elo 2442 (+7),21-14 / 15-21 / 22-20,HAN Yue Rank 22 Elo 2103 (-7),70,https://badmintonranks.com/tournament?id=10803,1,AN Se Young (3),3,2442,HAN Yue,22.0,2103
2022-08-26,Quarter final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2258 (+10),21-17 / 21-13,GOH Soo.. / LAI Shev.. (11) Rank 14 Elo 2011 (-11),40,https://badmintonranks.com/tournament?id=10803,1,Yuta WATANABE / Arisa IGAKI (3),3,2258,GOH Soon Huat / LAI Shevon Jemie (11),14.0,2011
2022-08-26,Quarter final,XD,ZHENG .. / HUANG .. (1) Rank 2 Elo 2449 (+3),21-9 / 21-9,TAN Kian.. / LAI Pei Ji.. (8) Rank 11 Elo 1966 (-4),28,https://badmintonranks.com/tournament?id=10803,1,ZHENG Si Wei / HUANG Dong Ping (1),2,2449,TAN Kian Meng / LAI Pei Jing (8),11.0,1966
2022-08-26,Quarter final,WS,TAI Tzu Ying (2) Rank 2 Elo 2532 (+6),21-16 / 21-9,Busanan ONGBAMRU.. (12) Rank 12 Elo 2156 (-6),45,https://badmintonranks.com/tournament?id=10803,2,TAI Tzu Ying (2),2,2532,Busanan ONGBAMRUNGPHAN (12),12.0,2156
2022-08-26,Quarter final,XD,Mark LA.. / Isabel LO.. (9) Rank 12 Elo 2033 (+30),21-13 / 13-21 / 21-19,TANG Ch.. / TSE Ying.. (6) Rank 7 Elo 2059 (-31),63,https://badmintonranks.com/tournament?id=10803,2,Mark LAMSFUSS / Isabel LOHAU (9),12,2033,TANG Chun Man / TSE Ying Suet (6),7.0,2059
2022-08-26,Quarter final,MS,Viktor AXELSEN (1) Rank 1 Elo 2671 (+7),21-10 / 21-10,Anthony Sinisuka GIN.. (6) Rank 6 Elo 2334 (-7),41,https://badmintonranks.com/tournament?id=10803,2,Viktor AXELSEN (1),1,2671,Anthony Sinisuka GINTING (6),6.0,2334
2022-08-26,Quarter final,WS,CHEN Yu Fei (4) Rank 4 Elo 2530 (+4),21-18 / 21-17,Michelle LI (13) Rank 13 Elo 2094 (-4),46,https://badmintonranks.com/tournament?id=10803,2,CHEN Yu Fei (4),4,2530,Michelle LI (13),13.0,2094
2022-08-26,Quarter final,MS,Kunlavut VITIDSARN (16) Rank 17 Elo 2307 (+23),21-12 / 17-21 / 21-8,LOH Kean Yew (8) Rank 8 Elo 2248 (-23),65,https://badmintonranks.com/tournament?id=10803,2,Kunlavut VITIDSARN (16),17,2307,LOH Kean Yew (8),8.0,2248
2022-08-26,Quarter final,MS,CHOU Tien Chen (4) Rank 4 Elo 2276 (+24),14-21 / 21-11 / 22-20,Jonatan CHRISTIE (7) Rank 7 Elo 2233 (-24),71,https://badmintonranks.com/tournament?id=10803,2,CHOU Tien Chen (4),4,2276,Jonatan CHRISTIE (7),7.0,2233
2022-08-26,Quarter final,WD,Puttita S.. / Sapsiree .. (14) Rank 20 Elo 1946 (+39),15-21 / 21-18 / 22-20,ZHANG .. / ZHENG .. (11) Rank 13 Elo 2060 (-38),84,https://badmintonranks.com/tournament?id=10803,2,Puttita SUPAJIRAKUL / Sapsiree TAERATTANACHAI (14),20,1946,ZHANG Shu Xian / ZHENG Si Wei (11),13.0,2060
2022-08-26,Quarter final,MS,ZHAO Jun Peng Rank 23 Elo 2199 (+33),19-21 / 21-6 / 21-18,PRANNOY H. S. Rank 18 Elo 2270 (-33),64,https://badmintonranks.com/tournament?id=10803,2,ZHAO Jun Peng,23,2199,PRANNOY H. S.,18.0,2270
2022-08-26,Quarter final,WD,KIM So Y.. / KONG H.. (4) Rank 4 Elo 2105 (+41),21-16 / 21-15,Nami MA.. / Chiharu .. (5) Rank 5 Elo 2282 (-41),49,https://badmintonranks.com/tournament?id=10803,2,KIM So Yeong / KONG Hee Yong (4),4,2105,Nami MATSUYAMA / Chiharu SHIDA (5),5.0,2282
2022-08-26,Quarter final,MD,Satwiksai.. / Chirag S.. (7) Rank 7 Elo 2109 (+36),24-22 / 15-21 / 21-14,Takuro H.. / Yugo KO.. (2) Rank 2 Elo 2214 (-36),75,https://badmintonranks.com/tournament?id=10803,2,Satwiksairaj RANKIREDDY / Chirag SHETTY (7),7,2109,Takuro HOKI / Yugo KOBAYASHI (2),2.0,2214
2022-08-26,Quarter final,MD,Aaron CH.. / SOH Wo.. (6) Rank 6 Elo 2146 (+21),21-18 / 21-16,CHOI Sol.. / SEO Seu.. (10) Rank 11 Elo 2056 (-21),40,https://badmintonranks.com/tournament?id=10803,2,Aaron CHIA / SOH Wooi Yik (6),6,2146,CHOI Sol Gyu / SEO Seung Jae (10),11.0,2056
2022-08-26,Quarter final,MD,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2075 (+16),21-8 / 21-14,M.R.ARJ.. / DHRUV K.. Rank 35 Elo 1912 (-17),29,https://badmintonranks.com/tournament?id=10803,2,Hendra SETIAWAN / Mohammad AHSAN (3),3,2075,M.R. ARJUN / DHRUV KAPILA,35.0,1912
2022-08-26,Quarter final,WD,Mayu MA.. / Wakana .. (6) Rank 6 Elo 2130 (+26),21-13 / 19-21 / 21-12,LEE So H.. / SHIN Se.. (3) Rank 3 Elo 2099 (-25),60,https://badmintonranks.com/tournament?id=10803,2,Mayu MATSUMOTO / Wakana NAGAHARA (6),6,2130,LEE So Hee / SHIN Se Eum (3),3.0,2099
2022-08-26,Quarter final,MD,Fajar ALF.. / Muhamm.. (5) Rank 5 Elo 2230 (+9),21-11 / 21-16,Ben LANE / Sean VE.. (14) Rank 18 Elo 1928 (-9),29,https://badmintonranks.com/tournament?id=10803,2,Fajar ALFIAN / Muhammad Shohibul FIKRI (5),5,2230,Ben LANE / Sean VENDY (14),18.0,1928
2022-08-26,Quarter final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2289 (+8),21-16 / 21-7,Jongkolp.. / Rawinda .. (7) Rank 8 Elo 1993 (-9),45,https://badmintonranks.com/tournament?id=10803,2,CHEN Qi Ming / JIA Yi Fan (1),1,2289,Jongkolphan KITITHARAKUL / Rawinda PRAJONGJAI (7),8.0,1993
2022-08-25,Round 3,WD,Puttita S.. / Sapsiree .. (14) Rank 20 Elo 1911 (+35),21-13 / 21-12,Gabriela .. / Stefani S.. (8) Rank 9 Elo 1969 (-33),33,https://badmintonranks.com/tournament?id=10803,2,Puttita SUPAJIRAKUL / Sapsiree TAERATTANACHAI (14),20,1911,Gabriela STOEVA / Stefani STOEVA (8),9.0,1969
2022-08-25,Round 3,MS,Kunlavut VITIDSARN (16) Rank 17 Elo 2291 (+16),21-13 / 21-6,Kenta NISHIMOTO Rank 21 Elo 2140 (-16),43,https://badmintonranks.com/tournament?id=10803,2,Kunlavut VITIDSARN (16),17,2291,Kenta NISHIMOTO,21.0,2140
